"cohort","model","task","run","trial_id","status","screenshot_path","screenshot_sha256","capture_error_path","result_json_path"
"self-hosted","google/gemma-4-e4b","pizza_search","1","141008","available","research/evaluation/model-trial-screenshots/self-hosted/141008__google_gemma-4-e4b__pizza_search__r1.png","343271ea78a98aac900498361a489545dc3f6a78085a530a144dbc4eaf6eb0dd","","research/evaluation/results/141008__google_gemma-4-e4b__pizza_search__r1.json"
"self-hosted","google/gemma-4-e4b","timer_set_5min","0","140750","available","research/evaluation/model-trial-screenshots/self-hosted/140750__google_gemma-4-e4b__timer_set_5min__r0.png","9c46ed490551b07ef75dd907111b7e03988ddcee7d53feba55963cfee94bcb27","","research/evaluation/results/140750__google_gemma-4-e4b__timer_set_5min__r0.json"
"self-hosted","google/gemma-4-e4b","timer_set_5min","1","140835","available","research/evaluation/model-trial-screenshots/self-hosted/140835__google_gemma-4-e4b__timer_set_5min__r1.png","4266b9726497660f906ac293a9b6607ae3e30e34d216c45f4f60a6e3ae4c32c1","","research/evaluation/results/140835__google_gemma-4-e4b__timer_set_5min__r1.json"
"self-hosted","pixtral-12b","bluetooth_toggle_on","0","143331","available","research/evaluation/model-trial-screenshots/self-hosted/143331__pixtral-12b__bluetooth_toggle_on__r0.png","e5e93b1de9084be07186d7d21f01899d98904adbcaaf51a15a66f117f09bb307","","research/evaluation/results/143331__pixtral-12b__bluetooth_toggle_on__r0.json"
"self-hosted","pixtral-12b","bluetooth_toggle_on","1","143733","available","research/evaluation/model-trial-screenshots/self-hosted/143733__pixtral-12b__bluetooth_toggle_on__r1.png","5e98c90aefccc8c0f29ee75ddec27a37da76343a161b35cb1e6610b803273589","","research/evaluation/results/143733__pixtral-12b__bluetooth_toggle_on__r1.json"
"self-hosted","pixtral-12b","brightness_set_50","0","144033","available","research/evaluation/model-trial-screenshots/self-hosted/144033__pixtral-12b__brightness_set_50__r0.png","6717b050dbedd17839a85db0623563df38a7d75e8c3175acbe94189efcfb4c25","","research/evaluation/results/144033__pixtral-12b__brightness_set_50__r0.json"
"self-hosted","pixtral-12b","brightness_set_50","1","144150","available","research/evaluation/model-trial-screenshots/self-hosted/144150__pixtral-12b__brightness_set_50__r1.png","dd4ce0a01dd729dafaaf0a0c14417d9034c42c4798051a656660e09df28ee2b5","","research/evaluation/results/144150__pixtral-12b__brightness_set_50__r1.json"
"self-hosted","pixtral-12b","dark_mode_off","0","142408","available","research/evaluation/model-trial-screenshots/self-hosted/142408__pixtral-12b__dark_mode_off__r0.png","f4145ac13555fdd44f5e1dff5d346bd8d5347f025e0b9c6ece0d7b1f96f2ea63","","research/evaluation/results/142408__pixtral-12b__dark_mode_off__r0.json"
"self-hosted","pixtral-12b","dark_mode_off","1","142459","available","research/evaluation/model-trial-screenshots/self-hosted/142459__pixtral-12b__dark_mode_off__r1.png","6df7cf374be901b83a7f69d3811a390fc4b153e507762fbd2265f75a1d683e2c","","research/evaluation/results/142459__pixtral-12b__dark_mode_off__r1.json"
"self-hosted","pixtral-12b","dark_mode_on","0","141729","available","research/evaluation/model-trial-screenshots/self-hosted/141729__pixtral-12b__dark_mode_on__r0.png","6b972c830dbf720b71c156c20eddc75637a931b8a1197451476276021ab4385d","","research/evaluation/results/141729__pixtral-12b__dark_mode_on__r0.json"
"self-hosted","pixtral-12b","dark_mode_on","1","141857","capture_failed","","","research/evaluation/model-trial-screenshots/capture-errors/141857__pixtral-12b__dark_mode_on__r1.capture-error.json","research/evaluation/results/141857__pixtral-12b__dark_mode_on__r1.json"
"self-hosted","pixtral-12b","pizza_search","0","145320","available","research/evaluation/model-trial-screenshots/self-hosted/145320__pixtral-12b__pizza_search__r0.png","a25d8b0ded0f56c888182c0167539e854039b68fcecd376e0b12b410ac8c5275","","research/evaluation/results/145320__pixtral-12b__pizza_search__r0.json"
"self-hosted","pixtral-12b","pizza_search","1","145345","available","research/evaluation/model-trial-screenshots/self-hosted/145345__pixtral-12b__pizza_search__r1.png","f4e7ccae180477cb45d9c869fb84a0705794d269c4f2820eeaef437cb3cca9cd","","research/evaluation/results/145345__pixtral-12b__pizza_search__r1.json"
"self-hosted","pixtral-12b","timer_set_5min","0","144308","available","research/evaluation/model-trial-screenshots/self-hosted/144308__pixtral-12b__timer_set_5min__r0.png","22ac6fb222479c24b803c283a655497fc13a62f4766431c964eda22c33e83ca5","","research/evaluation/results/144308__pixtral-12b__timer_set_5min__r0.json"
